Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-1,Bán nhà hẻm Phường Đa Kao Quận 1- Thích hợp mua ở hoặc đầu tư cho thuê,3,3,Đ.Nam,Đang ở,Sổ hồng,1 trệt + 1 lầu,"17,8 m²","35,6 m²","6,4 m","2,9 m","2,2 m",--,"Gần chợ, siêu thị. Gần trường học. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh",5 tỷ,"280,9 triệu/m²"
quan-1,Bán nhà hẻm xe ba gác Phường Nguyễn Thái Bình Quận 1,4,4,T.Bắc,Đang ở,Sổ hồng,"1 trệt, 1 lửng, 1 tầng thượng + 1 lầu","34,9 m²","111,7 m²","13,1 m","3,2 m","3,2 m",--,"Gần chợ, siêu thị. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh",11 tỷ,"315,2 triệu/m²"
quan-1,Nhà cấp 4 hẻm xe hơi quận 1 ,2,2,T.Bắc,Đang ở,Sổ hồng,1 trệt + 2 lầu,"21,5 m²",43 m²,"6,8 m","3,1 m",6 m,--,"Gần chợ, siêu thị. Gần trường học",7 tỷ,"325,6 triệu/m²"
quan-1,BÁN TÒA NHÀ SIÊU ĐẸP PHƯỜNG TÂN ĐỊNH QUẬN 1,16,16,Nam,Để trống,Sổ hồng,"1 trệt + 5 lầu, có tầng hầm","136,8 m²",800 m²,17 m,"8,2 m",6 m,--,"Gần chợ, siêu thị. Gần trường học. Hẻm thông. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Sân để xe rộng rãi",55 tỷ,402 triệu/m²
quan-1,Bán nhà cư xá mặt tiền đường Phường Tân Định Quận 1,4,2,Nam,Đang ở,Sổ hồng,"1 trệt, 1 lửng","65,6 m²",100 m²,"17,9 m","3,8 m",--,30 m,"Gần chợ, siêu thị. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng","5,5 tỷ","83,9 triệu/m²"
quan-1,Bán nhà hẻm Phường Tân Định Quận 1- Thích hợp mua xây mới ,6,3,T.Nam,Đang ở,Sổ hồng,1 trệt,"182,6 m²","169,7 m²","20,8 m","6,2 m","2,2 m",--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh",27 tỷ,"147,9 triệu/m²"
quan-1,BÁN NHÀ NGUYÊN CĂN HẺM XE HƠI GẦN MẶT TIỀN TRẦN KHẮC CHÂN QUẬN 1,3,3,T.Bắc,Để trống,Sổ hồng,"1 trệt, 1 lửng + 2 lầu","29,4 m²","93,9 m²","7,4 m","3,9 m",5 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng",14 tỷ,"476,2 triệu/m²"
quan-1,BÁN NHÀ NGUYÊN CĂN HẺM PHƯỜNG CẦU KHO QUẬN 1 ,2,2,Đ.Bắc,Đang cho thuê,Sổ hồng,1 trệt + 1 lầu,"42,2 m²","92,1 m²",4 m,11 m,"2,5 m",--,Hẻm thông. Cần bán gấp. Di chuyển thuận tiện ra trung tâm,"8,7 tỷ","206,2 triệu/m²"
quan-1,Bán nhà hẻm quận 1 an ninh yên tĩnh Phường Nguyễn Thái Bình,2,2,T.Bắc,Đang ở,Sổ hồng,1 trệt + 1 lầu,"37,8 m²","77,7 m²",7 m,"4,9 m",2 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh",7 tỷ,"185,2 triệu/m²"
quan-1,Bán nhà hẻm xe tải Phường Tân Định Quận 1,5,4,T.Nam,Để trống,Sổ hồng,1 trệt + 3 lầu,64 m²,"114,1 m²",18 m,4 m,6 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Di chuyển thuận tiện ra trung tâm",19 tỷ,"296,9 triệu/m²"
quan-1,Bán tầng 1 nhà mặt tiền quận 1 gần chợ Dân Sinh,--,1,T.Nam,Đang cho thuê,Sổ hồng,"1 trệt, 1 lửng","65,6 m²","65,6 m²","15,5 m","4,3 m",--,10 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","17,5 tỷ","266,8 triệu/m²"
