Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
huyen-binh-chanh,"Bán nhà MT đường Phạm Văn Sáng, Xã Vĩnh Lộc A, Huyện Bình Chánh ",2,2,Đ.Nam,Đang cho thuê,Sổ hồng,1 trệt,"112,6 m²","53,4 m²",28 m,4 m,--,7 m,"Gần chợ, siêu thị. Gần trường học","5,8 tỷ","51,5 triệu/m²"
huyen-binh-chanh,Bán nhà mặt tiền đường KDC ấp 2 xã Bình Hưng huyện Bình Chánh - Sổ hồng riêng chính chủ,6,7,Nam,Đang ở,Sổ hồng,1 trệt + 3 lầu,120 m²,"237,4 m²",20 m,6 m,--,12 m,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","12,5 tỷ","104,2 triệu/m²"
huyen-binh-chanh,"Bán nhà MT Vĩnh Lộc, Xã Phạm Văn Hai, Huyện Bình Chánh- thuận tiện kinh doanh.",1,1,Đông,Đang cho thuê,Sổ hồng,1 trệt,400 m²,1.000 m²,50 m,20 m,--,16 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm",45 tỷ,"112,5 triệu/m²"
huyen-binh-chanh,"Bán nhà mặt tiền đường Võ Văn Vân, xã Vĩnh Lộc B- đang cho thuê 50 triệu/tháng",--,6,T.Bắc,Đang cho thuê,Sổ hồng,1 trệt,"614,5 m²","318,5 m²","42,5 m",15 m,--,10 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần trường học. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh",51 tỷ,83 triệu/m²
huyen-binh-chanh,"Bán nhà cấp 4, HXH, đường Trần Văn Giàu, Xã Phạm Văn Hai, Huyện Bình Chánh",2,1,T.Bắc,Đang cho thuê,Sổ hồng,"1 trệt, 1 gác suốt","66,2 m²","86,7 m²","16,5 m","4,2 m",4 m,--,"Gần chợ, siêu thị. Gần trường học. Hẻm thông","2,75 tỷ","41,5 triệu/m²"
huyen-binh-chanh,"Bán nhà mặt tiền đường Võ Văn Vân, xã Vĩnh Lộc B huyện Bình Chánh",2,2,Đông,Đang cho thuê,Sổ hồng,"1 trệt, 1 lửng","82,5 m²","86,6 m²",22 m,"3,9 m",--,10 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần trường học","6,65 tỷ","80,6 triệu/m²"
huyen-binh-chanh,"Bán đất nền Xã Tân Quý Tây, Huyện Bình Chánh - Sổ hồng riêng chính chủ",--,--,Không xác định,Để trống,Sổ hồng,--,"343,4 m²",--,27.66 m,9.44 m,6.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm","5,6 tỷ","16,3 triệu/m²"
huyen-binh-chanh,"Bán đất nền hẻm Liên Ấp 2-3-4, Xã Vĩnh Lộc A, Huyện Bình Chánh - Sổ hồng riêng chính chủ",--,--,Đông,Để trống,Sổ hồng,--,1.000 m²,--,70.27 m,14.26 m,3.0 m,--,"Gần chợ, siêu thị. Khu vực an ninh, yên tĩnh","6,6 tỷ","6,6 triệu/m²"
huyen-binh-chanh,Bán nhà riêng hẻm thông thoáng Xã Phong Phú Huyện Bình Chánh - Sổ hồng riêng chính chủ,2,2,Đông,Để trống,Sổ hồng,1 trệt + 1 lầu,"39,7 m²","43,4 m²",10 m,4 m,2 m,--,"Gần chợ, siêu thị. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","1,95 tỷ","49,1 triệu/m²"
huyen-binh-chanh,Bán căn hộ chung cư Happy City Xã Bình Hưng Huyện Bình Chánh ,2,2,Đ.Nam,Đang ở,Khác,--,--,76 m²,--,--,--,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","2,15 tỷ","28,3 triệu/m²"
huyen-binh-chanh,"Bán nhà hẻm thông thoáng Xã Quy Đức, Huyện Bình Chánh - Sổ hồng riêng chính chủ",3,2,T.Nam,Đang ở,Sổ hồng,"1 trệt, 1 lửng","197,5 m²","135,1 m²","18,2 m","10,7 m",3 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","4,2 tỷ","21,3 triệu/m²"
huyen-binh-chanh,"Bán Chung Cư Căn Hộ HQC-Đường Nguyễn Văn Linh, Huyện Bình Chánh",2,2,Không xác định,Để trống,Khác,--,--,50 m²,--,--,--,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","1,2 tỷ",24 triệu/m²
huyen-binh-chanh,Bán căn hộ cao cấp 2PN tại chung cư Saigon Intela - Bình Chánh.,2,2,Không xác định,Để trống,Khác,--,--,51 m²,--,--,--,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Sân để xe rộng rãi","1,55 tỷ","30,4 triệu/m²"
huyen-binh-chanh,"Bán Căn Hộ HQC - Đường Nguyễn Văn Linh, Huyện Bình Chánh",2,2,Không xác định,Để trống,Khác,--,--,"69,8 m²",--,--,--,--,,"1,378 tỷ","19,7 triệu/m²"
huyen-binh-chanh,Bán căn hộ officetel 41.95m2 tại chung cư SaiGon Mia - Bình Chánh,--,--,Không xác định,Để trống,Khác,--,--,42 m²,--,--,--,--,"Gần chợ, siêu thị. Gần trường học. Di chuyển thuận tiện ra trung tâm. Sân để xe rộng rãi","1,95 tỷ","46,5 triệu/m²"
huyen-binh-chanh,Bán căn hộ cao cấp 2PN tại chung cư Citizen - Bình Chánh,2,2,Không xác định,Đang cho thuê,Khác,--,--,82 m²,--,--,--,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","3,1 tỷ","37,8 triệu/m²"
huyen-binh-chanh,Bán căn hộ chung cư The Mansion xã Phong Phú huyện Bình Chánh - Sổ hồng riêng chính chủ,3,2,Không xác định,Để trống,Sổ hồng,--,--,"93,4 m²",--,--,--,--,,"2,2 tỷ","23,6 triệu/m²"
huyen-binh-chanh,Bán căn hộ chung cư Happy City Xã Bình Hưng Huyện Bình Chánh ,2,2,Không xác định,Để trống,Khác,--,--,76 m²,--,--,--,--,,"2,1 tỷ","27,6 triệu/m²"
huyen-binh-chanh,Bán căn hộ cao cấp 2PN tại chung cư Lovera Vista - Bình Chánh,2,2,Không xác định,Để trống,Khác,--,--,53 m²,--,--,--,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Thiết kế thông thoáng","2,2 tỷ","41,5 triệu/m²"
huyen-binh-chanh,Căn hộ 2 phòng ngủ chung cư Lovera Vista Khang Điền sắp bàn giao,2,2,T.Bắc,Để trống,Khác,--,--,"61,1 m²",--,--,--,--,"Tên dự án:. Căn hộ Lovera Vista Khang Điền. Vị trí:. Khu dân cư Phong Phú 4, Xã Phong Phú, Bình Chánh, Hồ Chí Minh. Chủ đầu tư:. Quy mô:. 5 block, 1500 căn hộ. Xem chi tiết","2,25 tỷ","36,8 triệu/m²"
