Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
huyen-hoc-mon,Bán nhà riêng Bà Điểm Hóc Môn - Gần trường Tiểu Học Tây Bắc Lân ,2,1,T.Bắc,Đang ở,Sổ hồng,"1 trệt, 1 lửng","49,5 m²","73,4 m²",11.73 m,4.25 m,1.5 m,--,"Gần chợ, siêu thị. Gần trường học","2,4 tỷ","48,5 triệu/m²"
huyen-hoc-mon,"Bán nhà mặt tiền lớn, diện tích 300m2 Tân Hiệp Hóc Môn- Thuận tiện kinh doanh, buôn bán",2,1,Đ.Bắc,Đang ở,Sổ hồng,1 trệt,300 m²,"111,6 m²",32.71 m,10.34 m,--,20.0 m,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường",15 tỷ,50 triệu/m²
huyen-hoc-mon,Bán nhà Bà Điểm Huyện Hóc Môn - Gần Ngã Tư Cây Me,1,1,Nam,Để trống,Sổ hồng,1 trệt,"41,3 m²","41,3 m²",9.42 m,4.0 m,3.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","2,65 tỷ","64,2 triệu/m²"
huyen-hoc-mon,Bán nhà mặt tiền Xuân Thới Đông Hóc Môn - Gần khu dân cư Đại Hải,5,5,Đ.Bắc,Để trống,Sổ hồng,1 trệt + 3 lầu,"110,5 m²","331,5 m²","22,3 m",5 m,--,10 m,"Gần chợ, siêu thị. Gần trường học","7,6 tỷ","68,8 triệu/m²"
huyen-hoc-mon,Bán lô đất mặt tiền huyện Hóc Môn - Gần chợ chữ S ,--,--,T.Bắc,Để trống,Sổ hồng,--,98 m²,--,19.54 m,5.0 m,--,6.0 m,"Gần chợ, siêu thị. Gần trường học","3,7 tỷ","37,8 triệu/m²"
huyen-hoc-mon,Bán nhà riêng huyện Hóc Môn - Cách chợ Cây Me 200m,3,3,Đ.Bắc,Để trống,Sổ hồng,1 trệt + 2 lầu,"47,8 m²","106,2 m²",12 m,4 m,6 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","3,5 tỷ","73,2 triệu/m²"
huyen-hoc-mon,"Bán nhà riêng, mặt tiền đường nhựa, diện tích 68.3m2 Tân Xuân Hóc Môn.",3,2,Tây,Để trống,Sổ hồng,1 trệt + 1 lầu,"68,3 m²","116,4 m²","16,2 m",4 m,--,10 m,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","4,75 tỷ","69,5 triệu/m²"
huyen-hoc-mon,Bán nhà Nát mặt tiền đường kinh doanh Hóc Môn,2,1,Tây,Để trống,Sổ hồng,1 trệt,"128,7 m²","94,1 m²","34,7 m","4,8 m",--,12 m,,"6,5 tỷ","50,5 triệu/m²"
huyen-hoc-mon,Bán nhà mặt tiền Xuân Thới Sơn Hóc Môn - Gần Trạm Y Tế Xã Xuân Thới Sơn ,5,5,T.Bắc,Để trống,Sổ hồng,1 trệt + 2 lầu,"125,4 m²",245 m²,"23,7 m","5,2 m",--,8 m,"Gần chợ, siêu thị. Gần trường học","6,5 tỷ","51,8 triệu/m²"
huyen-hoc-mon,Bán nhà riêng huyện Hóc Môn - Gần chợ Cây Me,2,2,T.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"19,4 m²","38,8 m²",6.08 m,3.27 m,2.5 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","2,05 tỷ","105,7 triệu/m²"
huyen-hoc-mon,Bán nhà Xuân Thới Đông Hóc Môn - Gần chợ chữ S ,4,4,T.Bắc,Để trống,Sổ hồng,1 trệt + 2 lầu,"88,1 m²","164,3 m²",21 m,"4,3 m",4 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","4,8 tỷ","54,5 triệu/m²"
huyen-hoc-mon,Bán nhà nát mặt tiền Xuân Thới Đông Hóc Môn - Gần chợ chữ S ,1,1,T.Nam,Để trống,Sổ hồng,1 trệt,"99,7 m²","55,9 m²",23.22 m,4.16 m,--,8.0 m,"Gần chợ, siêu thị. Gần trường học","3,85 tỷ","38,6 triệu/m²"
huyen-hoc-mon,"Bán Nhà Mặt Tiền Đường 100.2m2, Tân Xuân Hóc Môn.",2,1,T.Bắc,Đang cho thuê,Sổ đỏ,"1 trệt, 1 lửng + 1 lầu","92,7 m²","100,2 m²","23,4 m","4,3 m",--,10 m,,6 tỷ,"64,7 triệu/m²"
huyen-hoc-mon,Bán nhà riêng huyện Hóc Môn - Gần UBND Xã Bà Điểm,1,1,Đ.Nam,Để trống,Sổ hồng,1 trệt,"51,1 m²","38,7 m²","11,6 m",4 m,3 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","2,5 tỷ","48,9 triệu/m²"
huyen-hoc-mon,Bán nhà riêng Huyện Hóc Môn - Cách Trạm y tế xã Trung Chánh chỉ 410m,3,2,Đ.Bắc,Đang ở,Sổ hồng,"1 trệt, 1 lửng","126,7 m²",98 m²,19.68 m,7.17 m,3.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","6,5 tỷ","51,3 triệu/m²"
huyen-hoc-mon,Bán đất nền mặt tiền Hóc Môn - 1.988m2 - Mua mở công ty kết hợp kho xưởng,--,--,T.Bắc,Để trống,Sổ hồng,--,1.988 m²,--,77.7 m,25.0 m,--,4.0 m,"Gần chợ, siêu thị. Gần trường học",25 tỷ,"12,6 triệu/m²"
huyen-hoc-mon,Bán nhà trong Khu dân cư Hoàng Hải Bà Điểm Hóc Môn,6,5,T.Nam,Đang ở,Sổ hồng,1 trệt + 1 lầu,100 m²,300 m²,20.0 m,5.0 m,--,12.0 m,,10 tỷ,100 triệu/m²
huyen-hoc-mon,"Bán nhà hai mặt tiền nằm trong khu dân cư sầm uất Hóc Môn, đang kinh doanh phòng trọ doanh thu 20tr/tháng",3,2,Tây,Đang ở,Sổ đỏ,1 trệt,250 m²,"71,3 m²",10.03 m,7.43 m,8.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Sân để xe rộng rãi. 2 Mặt đường chính",15 tỷ,60 triệu/m²
huyen-hoc-mon,"Bán nhà 80.3m2 Xuân Thới Sơn Hóc Môn, Hẻm nhựa xe hơi",4,4,Tây,Để trống,Sổ hồng,"1 trệt, 1 lửng + 2 lầu","80,3 m²","217,1 m²","16,5 m",5 m,"4,2 m",--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","4,3 tỷ","53,5 triệu/m²"
