Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
huyen-nha-be,BÁN ĐẤT NỀN GÓC 2 MẶT HẺM XE HƠI XÃ PHÚ XUÂN HUYỆN NHÀ BÈ ,--,--,T.Bắc,Để trống,Sổ hồng,--,"83,3 m²",--,10.4 m,8.09 m,6.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","3,05 tỷ","36,6 triệu/m²"
huyen-nha-be,Bán Nhà Mới Hẻm Xe Tải Xã Phước Kiển Huyện Nhà Bè,2,2,T.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,33 m²,66 m²,11 m,3 m,6 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","1,85 tỷ","56,1 triệu/m²"
huyen-nha-be,Bán Căn Hộ Orchid Park Phú Gia - 2PN 2WC 77.65m2 - xã Phú Xuân - Huyện Nhà Bè,2,2,Không xác định,Để trống,Khác,--,--,"73,7 m²",--,--,--,--,,"1,88 tỷ","25,5 triệu/m²"
huyen-nha-be,Bán Căn Hộ Orchid Park Phú Gia - 2PN 2WC 75m2 - Sổ hồng riêng- xã Phú Xuân - Huyện Nhà Bè,2,2,Không xác định,Để trống,Sổ hồng,--,--,75 m²,--,--,--,--,,"1,85 tỷ","24,7 triệu/m²"
huyen-nha-be,BÁN NHÀ KHU DÂN CƯ ANH TUẤN GREENRIVERSIDE HẺM XE HƠI XÃ PHÚ XUÂN HUYỆN NHÀ BÈ,4,5,T.Nam,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu",80 m²,"185,2 m²",16 m,5 m,8 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","7,2 tỷ",90 triệu/m²
huyen-nha-be,"Bán Chung Cư Sunrise Riverside- Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè",3,2,Không xác định,Để trống,Khác,--,--,104 m²,--,--,--,--,"Tên dự án:. Sunrise Riverside. Vị trí:. Đường Nguyễn Hữu Thọ, Xã Phước Kiển, huyện Nhà Bè, Hồ Chí Minh, Việt Nam. Chủ đầu tư:. Tập đoàn Novaland. Quy mô:. 8 block, 2200 căn hộ. Xem chi tiết","4,8 tỷ","46,2 triệu/m²"
huyen-nha-be,BÁN NHÀ MỚI HẺM XE HƠI TRUNG TÂM THỊ TRẤN HUYỆN NHÀ BÈ - KDC THE SUN SÀI GÒN MỚI,4,5,Đ.Nam,Để trống,Sổ hồng,1 trệt + 2 lầu,"66,5 m²","170,7 m²",16 m,"4,2 m",10 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","5,8 tỷ","87,2 triệu/m²"
huyen-nha-be,BÁN NHÀ MẶT TIỀN ĐƯỜNG CHÍNH TRUNG TÂM THỊ TRẤN HUYỆN NHÀ BÈ,2,1,T.Nam,Đang ở,Sổ hồng,1 trệt,"97,2 m²","74,4 m²","24,8 m","4,1 m",--,25 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi",11 tỷ,"113,2 triệu/m²"
huyen-nha-be,BÁN NHÀ HẺM THÔNG THOÁNG XÃ PHƯỚC KIỂN HUYỆN NHÀ BÈ,4,3,Bắc,Để trống,Sổ hồng,1 trệt + 2 lầu,"25,5 m²","76,5 m²","8,5 m",3 m,"2,5 m",--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","1,86 tỷ","72,9 triệu/m²"
huyen-nha-be,BÁN NHÀ HẺM THÔNG THOÁNG TRUNG TÂM THỊ TRẤN HUYỆN NHÀ BÈ ,2,2,Đ.Bắc,Để trống,Sổ hồng,1 trệt + 2 lầu,24 m²,72 m²,6 m,4 m,3 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","1,7 tỷ","70,8 triệu/m²"
