Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-9,"Bán căn Shophouse đầy đủ nội thất thuộc khu Simcity phường Trường Thạnh, TP Thủ Đức.",3,5,T.Nam,Đang ở,Khác,"1 trệt, 1 tầng thượng + 3 lầu",85 m²,200 m²,17.0 m,5.0 m,--,12.0 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","7,2 tỷ","84,7 triệu/m²"
quan-9,Bán nhà hẻm xe hơi Phường Tăng Nhơn Phú A- Hẻm rộng 6m,2,1,T.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng, 1 áp mái","50,4 m²","83,5 m²",10.5 m,4.8 m,6.0 m,--,"Gần công viên, trung tâm. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Sân để xe rộng rãi","3,8 tỷ","75,4 triệu/m²"
quan-9,Bán nhà riêng hẻm xe hơi phường Long Thạnh Mỹ- Hẻm bê tông rộng 4m,3,2,T.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"84,4 m²","109,6 m²",16.94 m,5.41 m,4.0 m,--,"Gần công viên, trung tâm. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","3,45 tỷ","40,9 triệu/m²"
quan-9,Bán nhà riêng hẻm xe tải phường Phước Long B- Hẻm bê tông rộng 5m,4,3,T.Bắc,Đang ở,Sổ hồng,1 trệt + 2 lầu,50 m²,147 m²,12.1 m,4.1 m,5.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","5,9 tỷ",118 triệu/m²
quan-9,Bán nhà mặt tiền đường phường Tăng Nhơn Phú A- Hướng Đông Nam,1,1,Đ.Nam,Để trống,Sổ hồng,1 trệt,71 m²,"69,3 m²",17.33 m,4.03 m,3.0 m,--,"Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi. 2 Mặt hẻm","4,19 tỷ",59 triệu/m²
quan-9,Bán nhà hẻm xe máy phường Phước Long B- Nhà hướng Tây Nam,1,1,T.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"21,2 m²","42,4 m²",7.11 m,3.0 m,2.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","2,39 tỷ","112,7 triệu/m²"
quan-9,Bán căn hộ 1 phòng ngủ+ chung cư Vinhomes Grand Park - View hướng Tây Bắc,1,1,T.Bắc,Để trống,Khác,--,47 m²,47 m²,7.0 m,7.0 m,--,--,"Gần công viên, trung tâm. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","1,86 tỷ","39,6 triệu/m²"
quan-9,Bán đất nền hẻm xe hơi phường Long Phước quận 9. Sổ hồng riêng chính chủ.,--,--,Đ.Nam,Để trống,Sổ hồng,--,"387,1 m²",--,27.7 m,14.2 m,6.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh","3,25 tỷ","8,4 triệu/m²"
quan-9,Bán căn hộ 2 phòng ngủ Chung cư Flora Fuji Nam Long- Nhà có đầy đủ nội thất,2,2,Đ.Nam,Đang ở,Khác,--,68 m²,68 m²,9.0 m,8.0 m,--,--,"Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","2,45 tỷ",36 triệu/m²
quan-9,Chính chủ bán nhà cấp 4 khu dân cư phường Long Bình quận 9. ,2,1,Đ.Bắc,Để trống,Sổ hồng,1 trệt,"179,5 m²",75 m²,30.0 m,5.35 m,--,6.0 m,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh","5,6 tỷ","31,2 triệu/m²"
quan-9,"Bán nhà 1 trệt, 1 lầu hẻm xe ba gác phường Tăng Nhơn Phú B quận 9.",3,2,T.Nam,Đang ở,Sổ hồng,1 trệt + 1 lầu,"48,7 m²","89,6 m²",12.01 m,4.03 m,2.5 m,--,"Gần chợ, siêu thị. Gần trường học. Cần bán gấp. Thiết kế thông thoáng","3,7 tỷ",76 triệu/m²
