Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-binh-tan,Bán nhà đẹp hẻm xe hơi đường Bùi Tư Toàn - quận Bình Tân ,3,4,Đ.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng, 1 tầng thượng + 2 lầu",32 m²,"116,1 m²","7,3 m",4 m,"4,8 m",--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng","4,4 tỷ","137,5 triệu/m²"
quan-binh-tan,Bán nhà đẹp hẻm xe hơi đường Bùi Tư Toàn - quận Bình Tân ,2,2,Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"56,4 m²","112,8 m²","14,1 m",4 m,5 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Khu vực an ninh, yên tĩnh","4,5 tỷ","79,8 triệu/m²"
quan-binh-tan,"Bán nhà căn góc HXH, Bình Hưng Hòa- thuận tiện buôn bán kinh doanh",2,2,T.Nam,Đang cho thuê,Sổ hồng,1 trệt + 1 lầu,12 m²,"23,9 m²",7 m,4 m,"4,5 m",--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Khu vực an ninh, yên tĩnh. 2 Mặt hẻm","2,6 tỷ","216,7 triệu/m²"
quan-binh-tan,Bán nhà căn góc 2 mặt hẻm xe hơi P. Bình Trị Đông- Gần chợ và nhiều tiện ích xung quanh,2,2,Tây,Để trống,Sổ hồng,1 trệt + 1 lầu,"33,4 m²","66,8 m²",12.3 m,4.0 m,4.3 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần trường học. Hẻm thông. Khu vực an ninh, yên tĩnh. 2 Mặt hẻm","3,75 tỷ","112,3 triệu/m²"
quan-binh-tan,"Bán dãy phòng trọ HXT thông, P. Bình Trị Đông A, Bình Tân",4,4,Đ.Nam,Đang cho thuê,Sổ hồng,"1 trệt, 1 lửng","71,3 m²","83,2 m²",18 m,4 m,7 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông","4,6 tỷ","64,5 triệu/m²"
quan-binh-tan,"Bán nhà Mặt Tiền nội bộ Đường số 18A, p.Bình Hưng Hòa A, Bình Tân",2,2,Đông,Đang ở,Sổ hồng,1 trệt + 1 lầu,"46,6 m²","74,5 m²","11,7 m",4 m,--,5 m,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Khu vực an ninh, yên tĩnh","3,6 tỷ","77,3 triệu/m²"
quan-binh-tan,"Bán nhà cấp 4 HXH thông thoáng, p. Bình Trị Đông A- Khu dân cư đông đúc",1,1,Đ.Nam,Đang ở,Sổ hồng,"1 trệt, 1 lửng","29,8 m²",37 m²,10 m,3 m,"4,5 m",--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông","2,7 tỷ","90,6 triệu/m²"
quan-binh-tan,"Bán nhà 3.5 tấm HXH an ninh, hẻm 1/ Bình Thành, BHH B, Bình Tân- Gần Chợ Bình Thành",4,4,Nam,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu",56 m²,188 m²,14 m,4 m,5 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Khu vực an ninh, yên tĩnh","4,65 tỷ",83 triệu/m²
quan-binh-tan,"Bán nhà hẻm xe tải 10m, Đường Bình Trị Đông, P. Bình Trị Đông, Bình Tân",3,4,Tây,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","56,4 m²","140,3 m²",14 m,4 m,10 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","5,5 tỷ","97,5 triệu/m²"
quan-binh-tan,"Bán nhà 1 trệt 1 lầu đúc giả, hẻm 4m, an ninh, p.Bình Trị Đông A, quận Bình Tân ",3,2,Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"40,6 m²","81,2 m²",10 m,4 m,4 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh",3 tỷ,"73,9 triệu/m²"
quan-binh-tan,"Bán nhà HXT thông thoáng P. Bình Trị Đông A, Bình Tân - gần Bệnh Viện Đa Khoa Quận Bình Tân",3,2,Đ.Nam,Đang ở,Sổ hồng,1 trệt + 1 lầu,72 m²,72 m²,12 m,6 m,6 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần trường học. Hẻm thông","4,1 tỷ","56,9 triệu/m²"
quan-binh-tan,"Bán Nhà Hẻm An Ninh phường An Lạc, quận Bình Tân.",4,2,Bắc,Đang ở,Sổ hồng,1 trệt + 1 lầu,"60,1 m²","60,1 m²","4,6 m","13,1 m",2 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng","3,8 tỷ","63,2 triệu/m²"
quan-binh-tan,"Bán biệt thự mini mới xây hẻm an ninh, Bình Hưng Hòa A",4,5,T.Nam,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","54,5 m²","163,4 m²","7,5 m","7,5 m","4,6 m",--,"Gần chợ, siêu thị. Gần trường học. Khu vực an ninh, yên tĩnh","5,2 tỷ","95,4 triệu/m²"
quan-binh-tan,"Bán căn góc 2 mặt hẻm, nhà xưởng đang hoạt động P. Bình Trị Đông A- Bình Tân - Thu nhập 25 triệu/tháng",--,--,Đ.Bắc,Đang cho thuê,Sổ hồng,1 trệt,"318,9 m²","318,9 m²",20 m,16 m,8 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi. 2 Mặt hẻm","13,4 tỷ",42 triệu/m²
quan-binh-tan,"Bán 2 căn liền kề, căn góc. 1 mặt tiền- 1 mặt hẻm, Bình Hưng Hòa A- Bình Tân",4,4,T.Nam,Đang cho thuê,Sổ hồng,"1 trệt, 1 lửng","126,7 m²","97,8 m²",16 m,"8,1 m",--,12 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","7,5 tỷ","59,2 triệu/m²"
quan-binh-tan,"Bán nhà mặt tiền đường nội bộ quận Bình Tân sổ hồng chính chủ -  Nhà mặt tiền đường nội bộ, thuận tiện di chuyển ra trung tâm.",3,2,Đông,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","67,9 m²","186,3 m²",13 m,4 m,"6,2 m","6,5 m","Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh",7 tỷ,"103,1 triệu/m²"
quan-binh-tan,"Bán nhà hẻm xe hơi thông tứ hướng, đường Chiến Lược, P. Bình Trị Đông, Bình Tân",3,2,Nam,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","42,7 m²",106 m²,12.0 m,4.0 m,5.0 m,--,"Gần chợ, siêu thị. Gần trường học. Hẻm thông","4,1 tỷ",96 triệu/m²
quan-binh-tan,"Bán nhà HXT 6.5m xây dựng kiên cố, P.Bình Trị Đông A, Bình Tân",5,5,T.Bắc,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","80,1 m²","213,6 m²","20,4 m",4 m,"6,5 m",--,"Gần chợ, siêu thị. Gần trường học. Hẻm thông","6,3 tỷ","78,7 triệu/m²"
