Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-binh-thanh,Chính chủ cần bán căn Officetel 2 phòng ngủ Park 7 VINHOMES CENTRAL PARK,2,2,Không xác định,Để trống,Khác,--,--,80 m²,--,--,--,--,,"4,7 tỷ","58,8 triệu/m²"
quan-binh-thanh,"Bán nhà hẻm Nguyễn Văn Đậu, phường 11, Bình Thạnh",3,2,Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"59,4 m²",100 m²,12.89 m,3.73 m,2.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học","5,5 tỷ","92,6 triệu/m²"
quan-binh-thanh,Bán nhà Hẻm Xe Tải Xô Viết Nghệ Tĩnh Phường 25 Bình Thạnh.,4,4,T.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng + 2 lầu","154,8 m²","409,2 m²",20.0 m,8.0 m,12.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học",21 tỷ,"135,7 triệu/m²"
quan-binh-thanh,"Bán nhà hẻm đường Phan Văn Trị, khu vực kinh doanh sầm uất. Bình Thạnh",2,2,T.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"30,2 m²","60,4 m²",5.95 m,5.7 m,4.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm. Sân để xe rộng rãi","3,8 tỷ","125,8 triệu/m²"
quan-binh-thanh,"Bán nhà nát đường Đinh Tiên Hoàng, phường 3, Bình Thạnh",1,1,Tây,Để trống,Sổ hồng,1 trệt,"30,2 m²","44,4 m²",11.0 m,2.85 m,4.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm","3,3 tỷ","109,3 triệu/m²"
quan-binh-thanh,Bán căn hộ 1 phòng ngủ Officetel Richmond City quận Bình Thạnh,1,1,Không xác định,Đang cho thuê,Khác,--,38 m²,38 m²,--,--,--,--,,"2,1 tỷ","55,3 triệu/m²"
quan-binh-thanh,"Bán nhà hẻm Hoàng Hoa Thám phường 7, Bình Thạnh. Dân cư hiện hữu",3,2,Đ.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,53 m²,84 m²,11.33 m,5.0 m,2.0 m,--,"Gần công viên, trung tâm. Hẻm thông. Di chuyển thuận tiện ra trung tâm","5,9 tỷ","111,3 triệu/m²"
quan-binh-thanh,"Bán nhà mặt tiền Bùi Đình Túy, phường 12, Bình Thạnh",1,1,T.Bắc,Đang cho thuê,Sổ hồng,1 trệt + 1 lầu,"8,1 m²","16,2 m²",1.5 m,5.5 m,--,15.0 m,,"2,5 tỷ","308,6 triệu/m²"
quan-binh-thanh,"Bán nhà hẻm quận Bình Thạnh, - Khu dân cư an ninh, yên tĩnh",4,5,Đ.Bắc,Để trống,Sổ hồng,1 trệt,"185,3 m²","136,9 m²",20.69 m,13.1 m,2.83 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm. Sân để xe rộng rãi","17,6 tỷ",95 triệu/m²
quan-binh-thanh,Bán nhà hẻm quận Bình Thạnh - Thiết kế hiện đại - khu Dân Cư Hiện Hữu,5,6,Đ.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng, 1 tầng thượng + 2 lầu","53,6 m²",180 m²,10.0 m,4.0 m,4.0 m,--,"Gần chợ, siêu thị. Gần trường học. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh","6,9 tỷ","128,7 triệu/m²"
quan-binh-thanh,"Bán nhà mặt tiền đường Trần Văn Kỷ, phường 14 Bình Thạnh",3,2,Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"32,9 m²","63,7 m²",14.63 m,4.05 m,--,15.0 m,,"6,75 tỷ","205,2 triệu/m²"
