Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-go-vap,​​​​​​​Bán nhà Quận Gò Vấp - Hẻm xe hơi 3.5m - Xây dựng kiên cố - Khu dân trí cao,3,3,T.Bắc,Đang ở,Sổ hồng,1 trệt + 2 lầu,"37,5 m²","106,7 m²",10.9 m,4.0 m,3.5 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Thiết kế thông thoáng",5 tỷ,"133,3 triệu/m²"
quan-go-vap,Bán nhà Quận Gò Vấp - Hẻm xe hơi - 1 trệt 2 lầu đúc,5,4,Tây,Đang ở,Sổ hồng,1 trệt + 2 lầu,"54,7 m²","69,4 m²",15.64 m,3.9 m,6.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng",6 tỷ,"109,7 triệu/m²"
quan-go-vap,"Bán nhà quận Gò Vấp - Hẻm xe hơi - Khu dân cư an ninh, dân trí cao",4,5,T.Bắc,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu",64 m²,"173,4 m²",16.0 m,4.0 m,6.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh",7 tỷ,"109,4 triệu/m²"
quan-go-vap,Bán nhà quận Gò Vấp - Hẻm an ninh - Nhà xây kiên cố,4,5,Đ.Bắc,Đang ở,Sổ hồng,1 trệt + 2 lầu,"63,3 m²","163,5 m²",13.11 m,5.05 m,3.5 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Nở hậu. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","5,99 tỷ","94,6 triệu/m²"
quan-go-vap,"Bán nhà riêng quận Gò Vấp - đường lớn, thuận tiện kinh doanh đa ngành nghề",3,2,Đ.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng",51 m²,"75,4 m²",9.4 m,5.4 m,--,16.0 m,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng","9,5 tỷ","186,3 triệu/m²"
quan-go-vap,​​​​​​​Bán nhà quận Gò Vấp - Hẻm nhựa 4m thông 2 đầu - Xây dựng kiên cố - Cách Công viên Làng Hoa 250m,3,2,T.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng + 1 lầu","25,2 m²","66,4 m²",6.68 m,4.1 m,4.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng","3,85 tỷ","152,8 triệu/m²"
quan-go-vap,"Bán nhà Quận Gò Vấp - Hẻm xe hơi - Khu dân cư an ninh, yên tĩnh",4,4,Đông,Để trống,Sổ hồng,1 trệt,"67,5 m²","58,4 m²",17.0 m,4.5 m,4.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Khu vực an ninh, yên tĩnh","4,78 tỷ","70,8 triệu/m²"
quan-go-vap,"Nhà bán Quận Gò Vấp,  mặt tiền đường nội bộ, thuận tiện kinh doanh",3,2,Đ.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"106,1 m²","94,2 m²",19.9 m,5.45 m,--,4.0 m,"Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","10,5 tỷ",99 triệu/m²
quan-go-vap,Bán nhà Quận Gò Vấp - Hẻm xe hơi 1 sẹc thông cách mặt tiền tầm 40m,4,5,T.Bắc,Để trống,Sổ hồng,1 trệt + 3 lầu,"72,5 m²","198,3 m²",17.8 m,4.2 m,7.0 m,--,"Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","7,5 tỷ","103,4 triệu/m²"
quan-go-vap,​​​​​​​Bán nhà Quận Gò Vấp - Hẻm xe hơi 4m - Thiết kế hiện đại - Khu nhà cao tầng đồng bộ,5,5,T.Nam,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","53,5 m²","159,9 m²",13.46 m,4.0 m,4.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","5,7 tỷ","106,5 triệu/m²"
quan-go-vap,"Bán nhà Quận Gò Vấp - Hẻm an ninh, yên tĩnh",4,2,T.Bắc,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 1 lầu","159,9 m²","159,9 m²",19.95 m,8.0 m,4.5 m,--,,11 tỷ,"68,8 triệu/m²"
quan-go-vap,Bán nhà Quận Gò Vấp - Hẻm xe hơi 4m - Thiết kế hiện đại - Tặng Full nội thất,4,5,T.Bắc,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu",50 m²,"160,6 m²",12.03 m,4.17 m,4.0 m,--,,"5,8 tỷ",116 triệu/m²
quan-go-vap,​​​​​​​Bán nhà Quận Gò Vấp - Hẻm an ninh 3.2m - Thiết kế hiện đại - Tặng nội thất cao cấp,2,2,T.Bắc,Để trống,Sổ hồng,1 trệt + 1 lầu,"26,3 m²","52,6 m²",8.2 m,3.5 m,3.2 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","3,4 tỷ","129,3 triệu/m²"
quan-go-vap,Bán nhà trọ Quận Gò Vấp - Hẻm xe ba gác - Khu dân cư an ninh,11,11,Đ.Bắc,Đang cho thuê,Sổ hồng,1 trệt + 2 lầu,69 m²,"83,9 m²",13.52 m,5.0 m,3.5 m,--,"Gần chợ, siêu thị. Gần trường học. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh","7,6 tỷ","110,1 triệu/m²"
quan-go-vap,Bán nhà Quận Gò Vấp - Căn góc - Mặt tiền đường đông đúc - Giáp Tân Bình,2,2,Đ.Nam,Đang ở,Sổ hồng,1 trệt + 1 lầu,"98,8 m²","138,6 m²",17.13 m,6.72 m,--,20.0 m,"Gần chợ, siêu thị. Gần trường học. Thiết kế thông thoáng. Sân để xe rộng rãi. 2 Mặt đường chính","14,5 tỷ","146,8 triệu/m²"
quan-go-vap,Bán nhà Quận Gò Vấp - Hẻm nhựa 3.7m - Xây dựng kiên cố - Khu dân trí cao,4,3,T.Bắc,Để trống,Sổ đỏ,1 trệt + 2 lầu,"37,6 m²","113,2 m²",10.05 m,4.0 m,3.7 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm","4,6 tỷ","122,3 triệu/m²"
quan-go-vap,"Bán nhà Quận Gò vấp  - Hẻm xe hơi vào tận nơi - khu vực an ninh, yên tĩnh",4,3,Đ.Nam,Đang ở,Sổ hồng,1 trệt + 1 lầu,"101,5 m²","105,5 m²",17.75 m,6.05 m,5.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","7,5 tỷ","73,9 triệu/m²"
quan-go-vap,Bán nhà quận Gò Vấp - Hẻm xe hơi - Cách mặt tiền đường 1 căn,5,5,Đ.Nam,Đang cho thuê,Sổ hồng,"1 trệt, 1 lửng + 1 lầu","99,8 m²","249,5 m²",16.04 m,6.1 m,4.7 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Nở hậu. Hẻm thông. Gần mặt tiền đường. Khu vực an ninh, yên tĩnh",10 tỷ,"100,2 triệu/m²"
quan-go-vap,"Bán đất nền Quận Gò Vấp - hẻm xe tải nhỏ - khu dân cư an ninh, trí thức",--,--,T.Bắc,Để trống,Sổ hồng,--,"78,1 m²",--,19.52 m,4.0 m,8.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh","6,02 tỷ","77,1 triệu/m²"
