Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-phu-nhuan,Bán nhà mặt tiền có hẻm hậu sau nhà quận Phú Nhuận phường 15,2,2,Đ.Bắc,Đang cho thuê,Sổ hồng,"1 trệt, 1 lửng","88,6 m²","149,8 m²",22.0 m,4.0 m,--,10.0 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","19,5 tỷ","220,1 triệu/m²"
quan-phu-nhuan,CẦN BÁN NHÀ (CƯ XÁ) NGUYỄN VĂN TRỖI PHÚ NHUẬN ,2,3,Đ.Bắc,Đang ở,Sổ hồng,1 trệt,79 m²,"44,5 m²",12.0 m,7.0 m,2.5 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học","4,7 tỷ","59,5 triệu/m²"
quan-phu-nhuan,"Chính chủ bán nhà hẻm xe ô tô, để lại toàn bộ nội thất, nở hậu",3,2,Bắc,Để trống,Sổ hồng,1 trệt + 2 lầu,"38,6 m²",104 m²,12.0 m,3.5 m,4.3 m,--,Cần bán gấp,"6,9 tỷ","178,8 triệu/m²"
quan-phu-nhuan,Bán nhà hẻm quận Phú Nhuận phường 4,3,4,Đ.Bắc,Để trống,Sổ hồng,"1 trệt, 1 lửng, 1 tầng thượng + 2 lầu","36,9 m²","135,1 m²",8.1 m,4.25 m,3.8 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","6,8 tỷ","184,3 triệu/m²"
quan-phu-nhuan,Bán nhà hẻm quận Phú Nhuận phường 4,2,3,Đ.Bắc,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","30,4 m²","71,5 m²",4.16 m,6.65 m,2.25 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","3,6 tỷ","118,4 triệu/m²"
quan-phu-nhuan,"Chính chủ bán nhà nhỏ xinh, khu vực trung tâm Phú Nhuận",2,1,T.Bắc,Để trống,Sổ hồng,1 trệt + 2 lầu,"9,2 m²","18,4 m²",5.1 m,2.5 m,1.5 m,--,,"1,85 tỷ","201,1 triệu/m²"
quan-phu-nhuan,Bán căn hô chung cư 675 Nguyễn Kiệm đã có sổ hồng,2,1,Đ.Nam,Đang ở,Sổ hồng,--,--,"58,8 m²",--,--,--,--,,"2,45 tỷ","41,7 triệu/m²"
quan-phu-nhuan,Bán căn hộ chung cư 675 Nguyễn Kiệm 2 phòng ngủ quận Phú Nhuận,2,1,T.Bắc,Để trống,Sổ hồng,--,--,"58,8 m²",--,--,--,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","2,35 tỷ",40 triệu/m²
quan-phu-nhuan,Bán nhà hẻm quận Phú Nhuận phường 5,3,3,Đ.Bắc,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu",38 m²,129 m²,6.7 m,6.93 m,2.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","5,6 tỷ","147,4 triệu/m²"
quan-phu-nhuan,Bán nhà hẻm quận Phú Nhuận phường 5,3,3,Đ.Bắc,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu",38 m²,129 m²,4.46 m,7.6 m,2.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","5,65 tỷ","148,7 triệu/m²"
quan-phu-nhuan,Bán nhà hẻm quận Phú Nhuận phường 7,3,2,T.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"23,7 m²","47,5 m²",8.72 m,3.35 m,1.89 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","4,3 tỷ","181,4 triệu/m²"
quan-phu-nhuan,BÁN NHÀ BIÊT THỰ HẺM XE TẢI ĐƯỜNG NGUYỄN VĂN TRỖI QUẬN PHÚ NHUẬN,7,7,Đ.Nam,Để trống,Sổ hồng,1 trệt + 3 lầu,"167,2 m²","394,9 m²",20.9 m,8.0 m,5.7 m,--,,45 tỷ,"269,1 triệu/m²"
quan-phu-nhuan,"Chính chủ bán nhà mặt tiền, đang cho thuê, vị trí trung tâm quận Phú Nhuận ",5,3,Bắc,Đang cho thuê,Sổ hồng,"1 trệt, 1 lửng, 1 tầng thượng + 2 lầu","36,4 m²","119,3 m²",9.3 m,4.15 m,--,8.0 m,,15 tỷ,"412,1 triệu/m²"
quan-phu-nhuan,"Chính chủ bán nhà hẻm yên tĩnh, nở hậu, trung tâm quận Phú Nhuận",2,1,T.Nam,Đang ở,Sổ hồng,1 trệt,51 m²,51 m²,9.9 m,4.35 m,1.5 m,--,,"5,5 tỷ","107,8 triệu/m²"
quan-phu-nhuan,Bán nhà hẻm quận Phú Nhuận phường 11,4,4,Tây,Để trống,Sổ hồng,1 trệt + 2 lầu,62 m²,180 m²,16.72 m,4.0 m,4.4 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm",12 tỷ,"193,5 triệu/m²"
quan-phu-nhuan,"Chính chủ bán nhà hai mặt hẻm an ninh yên tĩnh quận Phú Nhuận, thiết kế đẹp, hướng Tây Nam",2,4,T.Nam,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","29,2 m²","96,8 m²",9.0 m,3.7 m,2.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","5,75 tỷ","196,9 triệu/m²"
quan-phu-nhuan,Bán nhà mặt tiền quận Phú Nhuận phường 2,5,5,T.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng, 1 tầng thượng + 2 lầu",51 m²,"153,7 m²",16.7 m,3.05 m,--,10.0 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","16,5 tỷ","323,5 triệu/m²"
quan-phu-nhuan,"Chính chủ bán nhà hẻm xe hơi trung tâm quận Phú Nhuận, nhà mới 100%, dọn vô ở ngay",2,1,Đ.Nam,Đang cho thuê,Sổ hồng,1 trệt + 2 lầu,"15,8 m²","47,4 m²",3.7 m,4.45 m,3.3 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Di chuyển thuận tiện ra trung tâm","2,95 tỷ","186,7 triệu/m²"
