Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-tan-binh,Bán biệt thự khu Bàu Cát,4,4,T.Bắc,Để trống,Sổ hồng,1 trệt + 3 lầu,"148,1 m²","471,5 m²",18.5 m,8.0 m,9.0 m,--,"Gần chợ, siêu thị. Gần trường học","27,5 tỷ","185,7 triệu/m²"
quan-tan-binh,"Bán nhà 1 trệt, 1 lửng, 1 lầu, HXH, P10, Tân Bình",6,4,Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng + 1 lầu","39,8 m²",97 m²,10.0 m,4.0 m,4.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi",5 tỷ,"125,6 triệu/m²"
quan-tan-binh,"Bán nhà MT phường 4, Tân Bình, khu vực sầm uất kinh doanh đa ngành",2,2,T.Bắc,Đang cho thuê,Sổ hồng,1 trệt + 2 lầu,"34,7 m²","104,1 m²",8.3 m,4.5 m,--,15.0 m,"Gần chợ, siêu thị. Gần trường học",8 tỷ,"230,5 triệu/m²"
quan-tan-binh,Bán nhà trống bàn giao ngay tại quận Tân Bình. Hẻm xe ba gác. Sổ hồng riêng. Đang cho thuê 8 triệu tháng,1,2,Đ.Nam,Đang cho thuê,Sổ hồng,"1 trệt, 1 lửng","29,3 m²","41,5 m²",9.6 m,3.05 m,3.0 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh","4,2 tỷ","143,3 triệu/m²"
quan-tan-binh,"Bán nhà MT, P.8, Tân Bình - Gần chợ sỉ Tân Bình",5,3,Đông,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","65,7 m²","205,4 m²",18.5 m,3.6 m,--,35.0 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi",20 tỷ,"304,4 triệu/m²"
quan-tan-binh,"Bán nhà hẻm 1 xẹt CMT8, P6, Tân Bình, nhà đúc 1 trệt 1 lầu, 2PN-2WC.",2,2,Đ.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"39,3 m²","80,8 m²",12.0 m,3.26 m,3.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường",5 tỷ,"127,2 triệu/m²"
quan-tan-binh,Chính chủ bán nhà hẻm 3m quận Tân Bình gần các quận trung tâm thành phố,2,2,Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"31,1 m²","51,6 m²",8.1 m,3.95 m,3.0 m,--,,"4,1 tỷ","131,7 triệu/m²"
quan-tan-binh,"Bán nhà phố, MT kinh doanh, P.13, Tân Bình - Giáp mặt tiền đường Cộng Hòa",5,4,Đ.Bắc,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","35,4 m²",123 m²,11.8 m,3.0 m,--,12.0 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng","7,6 tỷ","214,7 triệu/m²"
quan-tan-binh,"Bán nhà MT đường, P.12, Tân Bình - Gần ngay chợ Hoàng Hoa Thám",1,1,Đ.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng","49,1 m²","49,1 m²",12.4 m,4.0 m,--,6.5 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","8,2 tỷ",167 triệu/m²
quan-tan-binh,"Bán nhà nở hậu chữ T, hẻm xe hơi tránh nhau tại quận Tân Bình, khu dân cư dân trí cao",4,2,T.Bắc,Để trống,Sổ hồng,1 trệt + 1 lầu,"197,5 m²",316 m²,25.78 m,3.98 m,7.0 m,--,,"17,8 tỷ","90,1 triệu/m²"
quan-tan-binh,Bán nhà hẻm xe hơi quận Tân Bình gần khu chợ Phạm Văn Hai kinh doanh sầm uất,6,3,T.Nam,Đang ở,Sổ hồng,"1 trệt, 1 lửng, 1 tầng thượng + 2 lầu","74,6 m²","168,4 m²",14.6 m,5.95 m,4.0 m,--,,"10,3 tỷ","138,1 triệu/m²"
quan-tan-binh,"BÁN NHÀ MỚI 54.8M2, 4PN-4WC, ÂU CƠ PHƯỜNG 10 TÂN BÌNH",4,4,Đ.Bắc,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","54,8 m²",117 m²,11.57 m,4.51 m,2.5 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","7,5 tỷ","136,9 triệu/m²"
quan-tan-binh,Bán nhà hẻm xe hơi quận Tân Bình gần ngã tư Âu Cơ - Trường Chinh,3,2,Đ.Bắc,Để trống,Sổ hồng,1 trệt + 1 lầu,"82,5 m²","105,6 m²",23.2 m,3.6 m,4.0 m,--,,"7,5 tỷ","90,9 triệu/m²"
quan-tan-binh,"Bán nhà 3.5 tấm, HXH, P.6, Tân Bình - Giáp ranh Q.10",4,4,T.Nam,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","45,5 m²","139,3 m²",16.0 m,4.5 m,4.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Sân để xe rộng rãi. 2 Mặt hẻm","7,95 tỷ","174,7 triệu/m²"
quan-tan-binh,Bán căn hộ Phúc Yên quận Tân Bình,2,2,Không xác định,Để trống,Sổ hồng,--,"90,6 m²","90,6 m²",--,--,--,--,,"2,8 tỷ","30,9 triệu/m²"
quan-tan-binh,Nhà hẻm xe tải vuông vức quận Tân Bình,3,4,Đ.Nam,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 3 lầu","74,1 m²",300 m²,17.3 m,4.0 m,7.0 m,--,"Gần chợ, siêu thị. Gần trường học",12 tỷ,"161,9 triệu/m²"
quan-tan-binh,Bán nhà nở hậu hẻm 4m quận Tân Bình tiện di chuyển ra ngã tư Bảy Hiền,3,2,Đ.Nam,Đang ở,Sổ hồng,"1 trệt, 1 lửng + 1 lầu","135,8 m²","186,8 m²",33.0 m,4.13 m,8.0 m,--,,"14,5 tỷ","106,8 triệu/m²"
quan-tan-binh,Nhà mặt tiền quận Tân Bình thích hợp kinh doanh,2,2,T.Nam,Đang ở,Sổ hồng,1 trệt + 2 lầu,"84,2 m²","227,6 m²",20.0 m,4.5 m,--,30.0 m,,19 tỷ,"225,7 triệu/m²"
quan-tan-binh,"Bán nhà nguyên căn phường 9, quận Tân Bình",2,3,Đ.Nam,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","77,4 m²","168,3 m²",18.0 m,4.0 m,8.0 m,8.0 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần trường học. Cần bán gấp",11 tỷ,"142,2 triệu/m²"
quan-tan-binh,"Bán nhà 2 mặt hẻm 3m Huỳnh Văn Nghệ, Tân Bình. Nhà đang cho thuê ổn định hàng tháng.",4,4,Đ.Nam,Đang cho thuê,Sổ hồng,1 trệt + 2 lầu,"44,9 m²","126,2 m²",12.65 m,3.55 m,3.0 m,--,"Gần chợ, siêu thị. Gần trường học. Nở hậu. Gần mặt tiền đường. Thiết kế thông thoáng. 2 Mặt hẻm","4,4 tỷ","97,9 triệu/m²"
quan-tan-binh,"Bán nhà phố, 2 MT, thuận tiện kinh doanh, P.7, Tân Bình - Giáp ranh Q.10",2,3,Đ.Bắc,Đang ở,Sổ hồng,1 trệt + 1 lầu,"84,5 m²","157,4 m²",17.0 m,5.0 m,--,6.0 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Sân để xe rộng rãi. 2 Mặt hẻm",14 tỷ,"165,7 triệu/m²"
quan-tan-binh,"Bán nhà hẻm 1 xẹc ngắn, Đặng Minh Trứ, P.10, Tân Bình ",1,1,T.Bắc,Đang ở,Sổ hồng,"1 trệt, 1 lửng","66,3 m²","64,1 m²",15.25 m,4.2 m,1.6 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","5,2 tỷ","78,4 triệu/m²"
quan-tan-binh,"Bán nhà 2 tấm, HXH, P.4, Tân Bình - Giáp mặt tiền đường Hoàng Văn Thụ",5,6,Đ.Nam,Đang ở,Sổ hồng,1 trệt + 1 lầu,"256,5 m²","350,7 m²",35.0 m,6.92 m,4.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi",31 tỷ,"120,9 triệu/m²"
quan-tan-binh,Nhà thiết kế sang trọng quận Tân Bình,4,3,Đ.Nam,Đang ở,Sổ hồng,1 trệt + 3 lầu,"43,4 m²","140,9 m²",10.76 m,4.0 m,4.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Thiết kế thông thoáng","5,6 tỷ",129 triệu/m²
quan-tan-binh,"Bán nhà hẻm xe hơi 1 xẹt gần MT Lạc Long Quân, P9 Tân Bình",4,4,Tây,Đang ở,Sổ hồng,"1 trệt, 1 áp mái + 2 lầu",48 m²,"126,6 m²",12.6 m,3.65 m,4.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","6,3 tỷ","131,2 triệu/m²"
quan-tan-binh,"Bán nhà hẻm xe tải tiện kinh doanh, buôn bán, đang cho thuê 9tr/tháng",4,2,T.Nam,Đang cho thuê,Sổ hồng,1 trệt + 1 lầu,"66,9 m²","123,2 m²",17.04 m,4.0 m,7.0 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần trường học. Gần mặt tiền đường","6,2 tỷ","92,7 triệu/m²"
quan-tan-binh,"Nhà bán mặt tiền P15, Q.Tân Bình, đang cho thuê 10 triệu tháng",2,1,Đ.Bắc,Đang cho thuê,Sổ hồng,"1 trệt, 1 lửng","56,2 m²","62,7 m²",14.02 m,4.0 m,--,6.5 m,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","6,35 tỷ",113 triệu/m²
quan-tan-binh,"Bán nhà hẻm xe hơi quận Tân Bình thích hợp mở văn phòng công ty, kinh doanh dịch vụ",3,4,Nam,Đang ở,Sổ hồng,1 trệt + 4 lầu,"77,4 m²",234 m²,18.1 m,4.05 m,6.0 m,--,,12 tỷ,155 triệu/m²
quan-tan-binh,"Bán nhà hẻm 1 xẹt Đại Nghĩa, P6 Tân Bình",2,1,Đ.Nam,Đang ở,Sổ hồng,"1 trệt, 1 lửng","37,9 m²","61,9 m²",11.9 m,3.3 m,3.5 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường","4,6 tỷ","121,4 triệu/m²"
quan-tan-binh,"Bán Chung cư, căn hộ The Harmona Apartment Trương Công Định, quận Tân Bình",2,2,Đ.Nam,Để trống,Giấy chứng nhận phường quận,--,--,75 m²,--,--,--,--,,"2,88 tỷ","38,4 triệu/m²"
quan-tan-binh,"Bán nhà đẹp, HXH, Lạc Long Quân, P.11, Tân Bình",8,7,Tây,Để trống,Sổ hồng,"1 trệt, 1 lửng, 1 tầng thượng + 3 lầu","88,8 m²","323,2 m²",10.65 m,7.95 m,5.7 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","15,5 tỷ","174,5 triệu/m²"
