Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-tan-phu,"Bán nhà Quận Tân Phú- Khu dân cư an ninh, yên tĩnh",5,5,Đ.Nam,Đang cho thuê,Sổ hồng,1 trệt,"79,1 m²",64 m²,"18,4 m","3,5 m","1,8 m",--,"Gần chợ, siêu thị. Gần trường học. Khu vực an ninh, yên tĩnh","4,5 tỷ","56,9 triệu/m²"
quan-tan-phu,"Bán nhà Quận Tân Phú mặt tiền đường đông đúc, thiết kế sang trọng",10,10,Bắc,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 5 lầu","101,8 m²","431,6 m²",20 m,5 m,--,12 m,"Gần chợ, siêu thị. Gần trường học. 2 Mặt đường chính","21,5 tỷ","211,2 triệu/m²"
quan-tan-phu,"Bán nhà Quận Tân Phú - Khu dân cư an ninh, yên tĩnh. ",4,3,Đ.Bắc,Đang ở,Sổ hồng,1 trệt + 2 lầu,"47,4 m²","116,9 m²","8,4 m","5,7 m","3,8 m",--,"Gần chợ, siêu thị. Gần trường học","6,6 tỷ","139,2 triệu/m²"
quan-tan-phu,"Bán nhà nở hậu 4m Quận Tân Phú - Khu dân cư an ninh, yên tĩnh.",1,1,Đ.Bắc,Để trống,Sổ hồng,1 trệt + 1 lầu,"35,5 m²","51,3 m²","14,5 m",4 m,1 m,--,"Gần chợ, siêu thị. Gần trường học. Di chuyển thuận tiện ra trung tâm","2,8 tỷ","78,9 triệu/m²"
quan-tan-phu,"Bán nhà mặt tiền đường Quận Tân Phú, khu an ninh",5,5,T.Bắc,Đang ở,Sổ hồng,1 trệt + 2 lầu,200 m²,495 m²,25 m,8 m,--,8 m,"Gần chợ, siêu thị. Gần trường học",26 tỷ,130 triệu/m²
quan-tan-phu,"Bán nhà quận Tân Phú , cách nhà thờ Tân Phú Hòa 100m",5,3,Tây,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu",39 m²,"147,5 m²",10.0 m,3.9 m,5.0 m,--,"Gần chợ, siêu thị. Gần trường học","6,8 tỷ","174,4 triệu/m²"
quan-tan-phu,Bán nhà hẻm 1/ an ninh phường Hiệp Tân quận Tân Phú - Gần Siêu Thị Bách Hóa Xanh,2,2,Bắc,Đang ở,Sổ hồng,1 trệt + 1 lầu,38 m²,"76,6 m²","8,5 m","4,4 m",2 m,--,"Gần chợ, siêu thị. Gần trường học. Khu vực an ninh, yên tĩnh","3,7 tỷ","97,4 triệu/m²"
quan-tan-phu,"Nhà bán vuông vức quận Tân Phú, công chứng giao nhà ngay",3,3,Đông,Đang ở,Sổ hồng,"1 trệt, 1 tầng thượng + 1 lầu","73,5 m²",147 m²,"18,1 m",4 m,4 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần trường học. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","6,5 tỷ","88,4 triệu/m²"
quan-tan-phu,"Bán nhà Quận Tân Phú hẻm xe tải, thông thoáng, khu dân cư sầm uất",4,5,T.Bắc,Đang ở,Sổ hồng,1 trệt + 3 lầu,"92,6 m²","370,4 m²","15,4 m",6 m,"6,4 m",--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng","11,5 tỷ","124,2 triệu/m²"
quan-tan-phu,"Bán nhà Quận Tân Phú, khu dân cư đông đúc",6,7,Bắc,Để trống,Sổ hồng,1 trệt + 2 lầu,"142,4 m²","435,8 m²","17,8 m",8 m,--,12 m,"Gần chợ, siêu thị. Gần trường học",26 tỷ,"182,6 triệu/m²"
quan-tan-phu,Bán nhà đúc 5 tấm hẻm xe hơi phường Phú Thạnh quận Tân Phú - Gần Trường Tiểu Học Võ Thị Sáu,18,18,Đ.Bắc,Đang cho thuê,Sổ hồng,1 trệt + 4 lầu,"126,3 m²",410 m²,"19,6 m","6,5 m","5,5 m",--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Thiết kế thông thoáng","13,2 tỷ","104,5 triệu/m²"
quan-tan-phu,"Bán nhà hẻm xe hơi, P. Phú Thạnh, Quận Tân Phú - Gần Trường THCS Đồng Khởi",5,4,Đ.Bắc,Đang cho thuê,Sổ hồng,"1 trệt, 1 tầng thượng + 2 lầu","50,7 m²","140,3 m²","12,4 m",4 m,5 m,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Thiết kế thông thoáng","5,4 tỷ","106,5 triệu/m²"
quan-tan-phu,"Bán nhà vuông vức Quận Tân Phú, hẻm yên tĩnh",2,2,Bắc,Đang ở,Sổ hồng,1 trệt + 1 lầu,"30,6 m²","54,8 m²","6,8 m","4,5 m","1,4 m",--,"Gần chợ, siêu thị. Gần trường học. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh","3,05 tỷ","99,7 triệu/m²"
quan-tan-phu,Bán nhà hẻm xe hơi thông thoáng Quận Tân Phú,3,3,Đ.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"69,5 m²","101,2 m²",17 m,"4,1 m",8 m,--,"Gần chợ, siêu thị. Gần trường học","6,6 tỷ",95 triệu/m²
quan-tan-phu,"Bán nhà hẻm xe hơi Quận Tân Phú, nhà nở hậu - Khu dân cư an ninh, yên tĩnh. ",2,2,Đ.Bắc,Để trống,Sổ hồng,1 trệt + 1 lầu,"43,1 m²","85,4 m²","14,5 m",3 m,"5,4 m",--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Khu vực an ninh, yên tĩnh",6 tỷ,"139,2 triệu/m²"
quan-tan-phu,Bán nhà Quận Tân Phú hẻm xe tải ,4,3,Nam,Đang ở,Sổ hồng,1 trệt + 2 lầu,"53,6 m²","135,2 m²","13,4 m",4 m,"6,6 m",--,"Gần chợ, siêu thị. Gần trường học","7,8 tỷ","145,5 triệu/m²"
quan-tan-phu,Bán nhà ngay góc 2 mặt hẻm xe hơi Quận Tân Phú ,3,3,Không xác định,Đang ở,Sổ hồng,"1 trệt, 1 lửng, 1 tầng thượng + 1 lầu","42,2 m²","118,7 m²","10,4 m","4,2 m",4 m,--,"Gần chợ, siêu thị. Gần trường học. Di chuyển thuận tiện ra trung tâm. 2 Mặt hẻm",5 tỷ,"118,5 triệu/m²"
