Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-thu-duc,"Bán căn hộ thuộc chung cư Sunview Town đường Gò Dưa, phường Hiệp Bình Phước, Quận Thủ Đức- Căn góc, đã có sổ",2,2,Đ.Nam,Để trống,Sổ hồng,--,--,70 m²,--,--,--,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Khu vực an ninh, yên tĩnh","2,1 tỷ",30 triệu/m²
quan-thu-duc,Căn hộ 2 phòng ngủ dự án Moonlight Residence thành phố Thủ Đức,2,2,Không xác định,Để trống,Khác,--,--,68 m²,--,--,--,--,,"3,2 tỷ","47,1 triệu/m²"
quan-thu-duc,"Bán căn hộ chung cư Sunview Town Gò Dưa, Hiệp Bình Phước, Thủ Đức.",2,2,Không xác định,Đang ở,Sổ hồng,--,--,65 m²,--,--,--,--,"Gần chợ, siêu thị","2,2 tỷ","33,8 triệu/m²"
quan-thu-duc,Bán căn hộ Sunview Town thành phố Thủ Đức đang cho thuê ổn định,2,2,Không xác định,Đang cho thuê,Khác,--,--,68 m²,--,--,--,--,"Tên dự án:. Chung cư Sunview Town. Vị trí:. 18 Đường Gò Dưa, Thủ Đức, Hồ Chí Minh, Việt Nam. Chủ đầu tư:. Công ty Cổ phần Tập đoàn Đất Xanh. Quy mô:. 4 block, 1603 căn hộ. Xem chi tiết","2,3 tỷ","33,8 triệu/m²"
quan-thu-duc,Bán căn hộ tầng thấp Moonlight Residence thành phố Thủ Đức,2,2,Đ.Nam,Để trống,Khác,--,--,66 m²,--,--,--,--,"Tên dự án:. Moonlight Residences. Vị trí:. 102 Đặng Văn Bi, Bình Thọ, Thủ Đức, Hồ Chí Minh, Việt Nam. Chủ đầu tư:. Tập đoàn Hưng Thịnh. Quy mô:. 2 block, 568 căn hộ. Xem chi tiết","3,3 tỷ",50 triệu/m²
quan-thu-duc,"Bán gấp căn hộ thuộc chung cư OPAL RIVERSIDE, phường Hiệp Bình Chánh, Quận Thủ Đức",2,2,T.Nam,Đang cho thuê,Khác,--,--,"71,1 m²",--,--,--,--,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh. Sân để xe rộng rãi","3,5 tỷ","49,2 triệu/m²"
quan-thu-duc,"Chính chủ bán nhà nguyên căn 1 trệt 1 lầu, phường Hiệp Bình Chánh - Thủ Đức",4,3,Đ.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"153,2 m²","209,8 m²","21,5 m","7,1 m","3,5 m",--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","7,5 tỷ",49 triệu/m²
quan-thu-duc,"Bán dãy trọ 14 phòng hẻm xe hơi ngay Quốc lộ 1K, Phường Linh Xuân, Quận Thủ Đức",14,14,Đ.Bắc,Đang cho thuê,Sổ hồng,"1 trệt, 1 gác suốt","287,3 m²","408,6 m²",27.97 m,9.3 m,4.25 m,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","13,8 tỷ",48 triệu/m²
quan-thu-duc,"Chính chủ bán gấp nhà mặt tiền chợ kinh doanh sấm uất, phường Tam Bình, thành phố Thủ Đức",2,1,T.Nam,Để trống,Sổ hồng,--,"103,8 m²",90 m²,25.86 m,4.64 m,--,4.0 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Nở hậu. Di chuyển thuận tiện ra trung tâm. Sân để xe rộng rãi","12,5 tỷ","120,4 triệu/m²"
quan-thu-duc,"Chính chủ bán gấp dãy trọ 9 phòng, gần ngã tư Gò Dưa, Bình Chiểu, Thủ Đưc",9,9,Đ.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng","178,4 m²","230,4 m²","21,7 m","8,5 m",4 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","7,3 tỷ","40,9 triệu/m²"
quan-thu-duc,"Chính chủ bán dãy nhà trọ 7 phòng, hẻm xe ba gác, phường Hiệp Bình Chánh, Thủ Đức.",7,7,T.Nam,Để trống,Sổ hồng,"1 trệt, 1 gác suốt","105,9 m²","127,8 m²","20,9 m","5,2 m","3,8 m",--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh",8 tỷ,"75,5 triệu/m²"
quan-thu-duc,"Bán nhà nguyên căn 1 trệt 3 lầu hẻm xe hơi ngay đường Võ Văn Ngân, Phường Linh Chiểu, Thủ Đức",5,3,Tây,Để trống,Sổ hồng,1 trệt + 3 lầu,"38,7 m²",123 m²,11.05 m,3.5 m,4.0 m,--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","6,5 tỷ",168 triệu/m²
quan-thu-duc,"Bán nhà cấp 4 gần Vincom Thủ Đức mặt tiền đường số , Phường Linh Chiểu, Quận Thủ Đức",3,1,Đ.Bắc,Đang ở,Sổ hồng,1 trệt,"143,9 m²","87,5 m²",36.0 m,4.0 m,--,6.0 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","10,5 tỷ",73 triệu/m²
