District,Category,Bathroom,Direction,House Status,Verification,Land Area (m2),Land Used Area (m2),Width (m),Alley Width (m),Price (bil),Price/m2 (mil),Floor,Have Mezzanine,Have Rooftop,Have Basement,Have Attic,Near Market,Near Hospital,Near Center,Near Frontage,Securities Space,Comfortable Space,Have Car Park,Larger Rear,Alley Surface,Urgent Sale
21,1,2.0,3,2,2,3.912023005428146,4.096009841541162,1.589235205116581,1.0986122886681098,3.85,78.6,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21,1,2.0,3,1,2,4.747537427275013,4.880526608749236,1.6937790608678513,1.6094379124341003,8.0,70.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
21,1,3.0,3,2,2,3.977810745966149,4.8629083820668,1.7173950539391927,1.6094379124341003,4.8,91.6,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21,1,3.0,2,1,2,4.127134385045092,5.214935757608986,1.6094379124341003,1.3862943611198906,5.6,91.8,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21,1,1.0,3,1,2,3.86702563949741,3.768152635008444,1.6174060820832772,0.9162907318741551,2.5,53.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
21,1,4.0,2,3,2,4.417635062141249,4.888090941338162,1.791759469228055,1.9459101490553132,6.2,75.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
21,1,2.0,3,2,2,4.8338981155962015,4.6520537718869415,1.8050046959780757,1.791759469228055,9.0,72.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21,1,3.0,2,2,2,5.0466457316192885,5.308267697401205,1.9501867058225735,2.1972245773362196,11.0,71.2,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21,1,1.0,3,1,2,3.8753590210565547,4.02535169073515,1.8213182714695995,1.0986122886681098,2.75,58.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21,1,1.0,3,1,2,4.481871969643598,3.713572066704308,1.667706820558076,1.5040773967762742,5.5,62.9,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21,1,2.0,2,3,2,4.467056883858457,4.162003210695915,1.667706820558076,1.6094379124341003,9.0,104.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
21,1,2.0,2,1,2,5.279644101282416,4.846546505563361,2.132982308607866,1.3532545070416904,7.3,37.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
