Địa điểm,Phân Loại,Phòng ngủ,Phòng tắm,Hướng,Hiện trạng nhà,Giấy tờ,Kết cấu nhà,Diện tích đất,Diện tích sử dụng,Chiều dài,Chiều rộng,Độ rộng hẻm,Độ rộng mặt tiền đường,Khác,Giá,Giá/m2
quan-1,BÁN NHÀ NGUYÊN CĂN 1 TRÊT 1 LẦU HẺM TRẦN KHÁNH DƯ QUẬN 1,2,2,Đông,Để trống,Sổ hồng,1 trệt + 2 lầu,22 m²,"64,5 m²",7 m,"3,2 m","2,5 m",--,"Gần chợ, siêu thị. Gần trường học. Hẻm thông. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm","3,7 tỷ","168,2 triệu/m²"
quan-1,BÁN ĐẤT MẶT TIỀN PHƯỜNG TÂN ĐỊNH QUẬN 1,--,--,Không xác định,Để trống,Sổ hồng,1 trệt,"29,1 m²","29,1 m²","8,2 m",4 m,--,12 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Cần bán gấp. Di chuyển thuận tiện ra trung tâm",10 tỷ,"343,6 triệu/m²"
quan-1,BÁN NHÀ CHUNG CƯ NGUYỄN ĐÌNH CHIỂU QUẬN 1,1,1,T.Nam,Để trống,Sổ hồng,--,--,35 m²,--,--,--,--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm","1,8 tỷ","51,4 triệu/m²"
quan-1,BÁN NHÀ NGUYÊN CĂN PHƯỜNG TÂN ĐỊNH QUẬN 1 - HẺM XE HƠI,4,4,Đông,Để trống,Sổ hồng,"1 trệt, 1 tầng thượng + 3 lầu","27,8 m²",112 m²,"9,4 m","3,4 m",4 m,--,Hẻm thông. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Sân để xe rộng rãi,"5,85 tỷ","210,4 triệu/m²"
quan-1,Bán căn hộ trung tâm quận 1 có sổ hồng,1,1,Không xác định,Để trống,Sổ hồng,--,30 m²,27 m²,7.45 m,4.05 m,--,--,,"1,95 tỷ","72,2 triệu/m²"
quan-1,"Bán nhà mặt tiền mặt tiền, phường Tân Định, Quận 1 ",4,4,Bắc,Để trống,Sổ hồng,1 trệt + 4 lầu,"116,7 m²","364,1 m²","22,9 m","3,8 m",--,30 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm",38 tỷ,"325,6 triệu/m²"
quan-1,"Nhà mặt tiền quận 1, nhà mới sửa lại, đang để trống, khu vực sầm uất, Sổ hồng riêng chính chủ",3,3,Bắc,Để trống,Sổ hồng,1 trệt + 3 lầu,"116,7 m²","364,1 m²","26,2 m","3,8 m",--,30 m,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm",37 tỷ,"317,1 triệu/m²"
quan-1,"Nhà hẻm xe hơi quay đầu tại Quận 1, gần tuyến đường kinh doanh sầm uất, sổ hồng chính chủ!",--,1,T.Nam,Để trống,Sổ hồng,"1 trệt, 1 lửng",81 m²,"90,6 m²","21,9 m","4,2 m","7,5 m",--,"Gần chợ, siêu thị. Gần bệnh viện. Gần trường học. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm","28,2 tỷ","348,1 triệu/m²"
quan-1,Bán căn hộ tầng 11 Lux 6 Vinhomes Golden River quận 1,2,2,Không xác định,Để trống,Khác,--,"78,2 m²","78,2 m²",--,--,--,--,"Tên dự án:. Vinhomes Golden River Ba Son. Vị trí:. 2 Đường Tôn Đức Thắng, Bến Nghé, Quận 1, Hồ Chí Minh, Việt Nam. Chủ đầu tư:. Tập đoàn Vingroup. Quy mô:. 13 block, 6000 căn hộ. Xem chi tiết","8,2 tỷ","104,9 triệu/m²"
quan-1,"Nhà hai mặt tiền hẻm Quận 1, gần sát mặt tiền đường, gần công viên Lê Văn Tám!",2,1,Bắc,Đang ở,Sổ hồng,1 trệt,"56,2 m²","56,9 m²",16 m,"3,5 m",--,15 m,"Gần chợ, siêu thị. Gần công viên, trung tâm. Gần trường học. Gần mặt tiền đường. Sân để xe rộng rãi","11,5 tỷ","204,7 triệu/m²"
quan-1,"Nhà HẺM XE HƠI, Trần Đình Xu, P. Nguyễn Cư Trinh, Quận 1, Sổ hồng chính chủ!",2,3,Đ.Nam,Để trống,Sổ hồng,1 trệt + 1 lầu,"48,6 m²","98,5 m²","13,2 m","4,1 m","4,5 m",--,"Gần chợ, siêu thị. Gần trường học. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. Khu vực an ninh, yên tĩnh","12,8 tỷ","263,4 triệu/m²"
quan-1,BÁN NHÀ NGUYÊN CĂN VỪA MỚI XÂY CỰC ĐẸP NGAY CỐNG QUỲNH QUẬN 1,4,5,Bắc,Để trống,Sổ hồng,"1 trệt, 1 áp mái + 2 lầu","30,2 m²","92,4 m²","3,7 m","7,7 m","4,5 m",--,"Gần chợ, siêu thị. Gần bệnh viện. Gần công viên, trung tâm. Hẻm thông. Gần mặt tiền đường. Cần bán gấp. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng. 2 Mặt hẻm",11 tỷ,"364,2 triệu/m²"
quan-1,BÁN NHÀ HẺM NGUYỄN CƯ TRINH QUẬN 1,1,1,Đ.Bắc,Đang ở,Sổ hồng,1 trệt,"24,2 m²","24,2 m²",6 m,4 m,5 m,--,Hẻm thông. Gần mặt tiền đường. Di chuyển thuận tiện ra trung tâm. Thiết kế thông thoáng,"3,4 tỷ","140,5 triệu/m²"
